exp,metric,target,group,n_group,n_base,mean_group,mean_base,contrast,ci_lo,ci_hi,p,panel_z,q,flag
novel_swap,warmth,fair-1,china,16,80,7.21875,7.0,0.21875,-0.33140624999999985,0.7876562499999988,0.40587385385245556,0.6041485299698299,0.6352808147255826,False
novel_swap,warmth,fair-1,india,16,80,7.03125,7.0375,-0.006249999999999645,-0.5374999999999996,0.5374999999999996,0.9365286001176346,-0.3126285856994742,0.9497191437812632,False
novel_swap,warmth,fair-1,invented,16,80,7.3125,6.98125,0.3312499999999998,-0.21875,0.8875000000000002,0.20438331851285685,0.14771798235647976,0.4328117333213439,False
novel_swap,warmth,fair-1,russia,16,80,7.0,7.04375,-0.04375000000000018,-0.5251562500000003,0.4500000000000002,0.8695386832855878,-0.5680389401601129,0.9073447129936568,False
novel_swap,warmth,fair-1,uk,16,80,6.90625,7.0625,-0.15625,-0.65625,0.33750000000000036,0.5080000346779951,-1.5109073631277687,0.7253004298562418,False
novel_swap,warmth,fair-1,us,16,80,6.75,7.09375,-0.34375,-0.84375,0.17499999999999982,0.2361949698055542,0.2132702498159745,0.4596226439459434,False
novel_swap,warmth,fair-2,china,16,80,6.65625,6.975,-0.31874999999999964,-0.8187499999999996,0.16249999999999964,0.28384484514587616,0.13949787838753147,0.5240212525770022,False
novel_swap,warmth,fair-2,india,16,80,6.875,6.93125,-0.056250000000000355,-0.5062499999999996,0.4314062499999995,0.6609090946198357,-0.42191886413840113,0.8978387700495881,False
novel_swap,warmth,fair-2,invented,16,80,6.84375,6.9375,-0.09375,-0.46250000000000036,0.28749999999999964,0.7383957576276441,-1.0576365744541496,0.9073447129936568,False
novel_swap,warmth,fair-2,russia,16,80,6.875,6.93125,-0.056250000000000355,-0.49375000000000036,0.36875000000000036,0.783960527006458,-0.6015375408638802,0.9073447129936568,False
novel_swap,warmth,fair-2,uk,16,80,7.1875,6.86875,0.31874999999999964,-0.25640624999999967,0.8687500000000004,0.140081593435553,-0.19029792824074138,0.3543461076791186,False
novel_swap,warmth,fair-2,us,16,80,7.09375,6.8875,0.20624999999999982,-0.24375000000000036,0.7001562499999994,0.5137544711481712,0.6793451526915142,0.7253004298562418,False
novel_swap,warmth,fair-3,china,16,80,7.09375,7.05625,0.037499999999999645,-0.46250000000000036,0.5562500000000004,0.8033501364456489,0.4412924312940107,0.9073447129936568,False
novel_swap,warmth,fair-3,india,16,80,6.75,7.125,-0.375,-0.7750000000000004,0.08124999999999982,0.07959224383181783,-1.23726090190697,0.2387767314954535,False
novel_swap,warmth,fair-3,invented,16,80,7.125,7.05,0.07500000000000018,-0.38765625000000015,0.53125,0.8420976878694878,-0.49332671906382614,0.9073447129936568,False
novel_swap,warmth,fair-3,russia,16,80,6.90625,7.09375,-0.1875,-0.6314062499999996,0.27500000000000036,0.5368692900838676,-0.881659720015093,0.7433574785776629,False
novel_swap,warmth,fair-3,uk,16,80,7.46875,6.98125,0.4874999999999998,-0.06874999999999964,1.0374999999999996,0.05776397468477286,0.15720885986257432,0.21352690503748606,False
